,,,,,,,,,,-89.74964904785156,89.1871337890625,-17.916641235351562,17.825790405273438
17.0,7.0,20.0,17.0,24.0,3.0,12.0,17.0,46.0,-22.0,-1.5024871826171875,2.275726318359375,3.3592987060546875,-8.627761840820312
20.0,18.0,18.0,16.0,20.0,35.0,26.0,12.0,24.0,25.0,-15.221786499023438,25.350799560546875,-3.3826141357421875,-20.049850463867188
9,-1,12,-1,13,20,,,9,23,-20.742767333984375,25.23651123046875,-4.6094970703125,-13.237327575683594
5,-4,15,-10,4,15,,,-4,14,-24.431884765625,17.211105346679688,-5.4293212890625,9.262596130371094
4.0,-9.0,20.0,-43.0,0.0,5.0,18.0,-29.0,-15.0,14.0,-18.096405029296875,12.06427001953125,-4.02142333984375,28.2353515625
-2.0,-1.0,3.0,-47.0,-2.0,15.0,31.0,-24.0,-11.0,12.0,-9.51068115234375,6.3404541015625,-2.113494873046875,21.405044555664062
2.0,7.0,-2.0,-5.0,2.0,15.0,35.0,-39.0,-6.0,-2.0,17.734329223632812,-7.8695526123046875,-12.084136962890625,-0.6014251708984375
5.0,3.0,0.0,29.0,3.0,6.0,-1.0,9.0,-7.0,-2.0,33.33363342285156,-18.910110473632812,-20.42552947998047,-1.9504241943359375
6,9,-4,37,0,11,-16,43,,,20.619461059570312,-21.154998779296875,-7.161285400390625,-2.83160400390625
1,3,2,10,5,-4,-1,9,,,10.7890625,-21.904861450195312,19.72406768798828,-4.1808319091796875
5,-18,5,-5,,,-7,1,,,6.350799560546875,-16.577301025390625,31.25494384765625,-5.8662109375
8,-7,7,-1,,,5,1,61,-46,-0.98663330078125,0.5179443359375,8.21209716796875,-10.501922607421875
3.0,17.0,14.0,15.0,34.0,8.0,7.0,31.0,37.0,-1.0,-14.776473999023438,24.626998901367188,-3.283660888671875,-19.45587158203125
14,16,11,15,9,27,,,26,17,-20.410568237304688,25.084381103515625,-4.5356903076171875,-13.332588195800781
25,-9,17,3,19,9,,,16,6,-23.784347534179688,16.941329956054688,-5.2854156494140625,7.719657897949219
-10,-2,-11,-6,-17,3,,,-22,2,-20.863449096679688,13.908966064453125,-4.6363067626953125,32.64817810058594
-31,-1,-35,-4,-53,31,,,-63,37,-7.932403564453125,5.28826904296875,-1.76275634765625,18.160263061523438
-43,-5,-39,-42,-57,-4,,,-77,-9,16.274520874023438,-7.16070556640625,-11.181671142578125,-0.349151611328125
-96.0,-48.0,-89.0,-96.0,-98.0,-45.0,-74.0,-79.0,-122.0,-35.0,36.32469177246094,-20.71148681640625,-22.201141357421875,-2.143310546875
-40.0,-2.0,-64.0,-19.0,-78.0,-6.0,-49.0,-31.0,-66.0,8.0,19.687026977539062,-21.2076416015625,-5.986320495605469,-2.88494873046875
-21.0,17.0,-28.0,30.0,-16.0,43.0,-19.0,2.0,-15.0,26.0,11.5203857421875,-24.067459106445312,24.67664337158203,-4.848541259765625
-8,19,-3,43,-11,25,-7,26,,,5.0324249267578125,-13.474212646484375,26.570449829101562,-5.1715850830078125
3,5,2,32,7,8,1,41,,,0.2263031005859375,-1.6829833984375,7.914337158203125,-7.56048583984375
5,-1,5,5,3,1,1,8,,,-10.513885498046875,18.4405517578125,-2.33642578125,-16.201324462890625
4,-3,1,15,-1,-16,-10,22,,,-19.000381469726562,26.427764892578125,-4.2223052978515625,-16.362289428710938
4,-9,3,5,,,-6,8,8,-19,-22.892593383789062,18.997161865234375,-5.087249755859375,-1.7317657470703125
2,-6,2,4,,,-1,3,19,-37,-21.776931762695312,14.517959594726562,-4.83929443359375,25.900131225585938
8.0,-2.0,2.0,0.0,14.0,-1.0,1.0,-2.0,24.0,-34.0,-14.03338623046875,9.355560302734375,-3.1185302734375,29.193862915039062
4.0,-3.0,2.0,-1.0,20.0,5.0,-1.0,-1.0,13.0,-4.0,6.7409515380859375,-2.62701416015625,-5.523529052734375,2.1545257568359375
3,2,3,3,9,27,,,-2,39,27.81121826171875,-13.816635131835938,-18.114089965820312,-1.2921600341796875
1,7,9,-1,-19,43,,,-9,45,30.179733276367188,-22.152374267578125,-15.740707397460938,-2.6259613037109375
1,-10,9,-57,5,10,,,-11,12,13.033782958984375,-22.215316772460938,8.45623779296875,-3.6170654296875
-3.0,-4.0,-2.0,-33.0,-8.0,-11.0,6.0,-20.0,-5.0,3.0,8.181243896484375,-19.448440551757812,30.093841552734375,-5.096954345703125
-2.0,1.0,0.0,-21.0,-7.0,0.0,14.0,-17.0,-5.0,2.0,3.0624847412109375,-8.960357666015625,20.225997924804688,-6.1693115234375
-1.0,4.0,-2.0,15.0,0.0,12.0,9.0,-18.0,-2.0,6.0,-4.9295501708984375,9.102401733398438,-0.7133331298828125,-11.766082763671875
4.0,11.0,-6.0,41.0,2.0,12.0,-11.0,29.0,-2.0,2.0,-17.72247314453125,27.672470092773438,-3.9383544921875,-19.781005859375
2.0,6.0,-1.0,31.0,4.0,12.0,-10.0,36.0,-2.0,1.0,-21.513046264648438,22.536834716796875,-4.780670166015625,-9.376663208007812
2.0,2.0,0.0,10.0,5.0,2.0,-4.0,9.0,-10.0,-1.0,-21.161727905273438,14.12005615234375,-4.702606201171875,13.857650756835938
2.0,-4.0,0.0,3.0,5.0,-21.0,-7.0,7.0,6.0,-19.0,-16.949264526367188,11.299514770507812,-3.766510009765625,28.439712524414062
-14.0,0.0,0.0,1.0,4.0,-56.0,-7.0,4.0,11.0,-25.0,-7.6789093017578125,5.1192474365234375,-1.7064056396484375,17.689041137695312
17.0,-14.0,1.0,0.0,9.0,-39.0,-1.0,1.0,15.0,-30.0,16.067581176757812,-7.081756591796875,-10.95782470703125,-0.5925750732421875
-1.0,-3.0,1.0,1.0,4.0,-15.0,1.0,-2.0,15.0,-41.0,30.904541015625,-16.929489135742188,-19.266693115234375,-1.705291748046875
2.0,-1.0,4.0,2.0,5.0,24.0,-4.0,-1.0,3.0,5.0,25.470352172851562,-25.238967895507812,-9.089996337890625,-3.352508544921875
-13,14,1,3,-10,22,,,-6,19,10.219772338867188,-20.985000610351562,19.942169189453125,-4.0698394775390625
9,-2,6,-3,-6,38,,,-12,50,5.75494384765625,-14.923690795898438,27.798690795898438,-5.049102783203125
0,-7,-1,-31,-7,1,,,-6,8,1.4131622314453125,-4.5056610107421875,11.535934448242188,-6.438629150390625
1.0,-4.0,0.0,-13.0,1.0,-5.0,3.0,-7.0,2.0,0.0,-8.45257568359375,15.228363037109375,-1.8783416748046875,-14.796295166015625
-1.0,0.0,1.0,-1.0,8.0,0.0,0.0,0.0,3.0,-2.0,-21.62786865234375,30.818450927734375,-4.806182861328125,-19.717674255371094
-1.0,-1.0,-2.0,-2.0,-9.0,-1.0,0.0,-2.0,-3.0,4.0,-25.72802734375,20.936508178710938,-5.7173309326171875,0.03942108154296875
0.0,-3.0,0.0,-10.0,-1.0,2.0,1.0,-7.0,-3.0,6.0,-21.068466186523438,14.045639038085938,-4.6819000244140625,27.682937622070312
-4.0,-2.0,2.0,-31.0,-5.0,8.0,11.0,-18.0,-3.0,9.0,-11.545639038085938,7.6970977783203125,-2.565704345703125,24.4404296875
-3.0,6.0,-3.0,-15.0,0.0,16.0,26.0,-26.0,-3.0,4.0,5.959808349609375,-2.178619384765625,-5.4085845947265625,3.309661865234375
2,4,,,1,7,5,-2,-3,0,26.8626708984375,-13.2474365234375,-17.549835205078125,-1.231353759765625
2,14,,,0,20,-16,56,,,34.37452697753906,-26.496749877929688,-17.23639678955078,-3.207275390625
1,1,0,10,5,-10,-4,9,,,11.9503173828125,-22.564041137695312,13.821189880371094,-3.92913818359375
