,,,,,,,,,,-89.74964904785156,89.1871337890625,-17.916641235351562,17.825790405273438
4.0,11.0,-2.0,26.0,3.0,10.0,-10.0,27.0,-7.0,-1.0,27.71453857421875,-21.047531127929688,-14.069450378417969,-2.5319366455078125
2,-14,4,-5,,,-15,9,17,-37,14.851531982421875,-26.742721557617188,14.789878845214844,-4.60760498046875
6,-6,4,4,,,-14,1,39,-20,6.7641754150390625,-16.922317504882812,29.375,-5.0975341796875
1,4,-2,14,-5,22,,,28,-2,1.9846343994140625,-6.1431732177734375,15.130783081054688,-7.25384521484375
0,3,-5,14,3,25,,,4,16,-10.162933349609375,18.072982788085938,-2.2584228515625,-16.962173461914062
-1,3,-2,-2,-10,24,,,-25,31,-21.820785522460938,30.111038208007812,-4.8490753173828125,-18.531875610351562
-2,-11,7,-31,-6,-10,,,7,-8,-23.652694702148438,18.679672241210938,-5.2561492919921875,0.9094924926757812
-2,-3,4,-21,6,11,,,-34,10,-21.75653076171875,14.504348754882812,-4.83477783203125,28.76610565185547
-4.0,-2.0,2.0,-29.0,-19.0,-7.0,18.0,-18.0,-12.0,2.0,-11.668502807617188,7.779022216796875,-2.5930023193359375,25.078277587890625
-1.0,1.0,-2.0,-10.0,-4.0,11.0,21.0,-16.0,-8.0,5.0,6.673858642578125,-2.6384124755859375,-5.3145294189453125,1.7116851806640625
-2.0,13.0,-8.0,24.0,-5.0,23.0,9.0,-2.0,-11.0,6.0,29.4368896484375,-14.708099365234375,-19.127029418945312,-1.3820037841796875
6.0,19.0,-2.0,54.0,6.0,5.0,-17.0,52.0,-13.0,-5.0,31.769058227539062,-25.061309814453125,-15.616569519042969,-3.0620880126953125
1.0,-20.0,4.0,-15.0,7.0,-75.0,-19.0,0.0,26.0,-37.0,12.244644165039062,-23.251846313476562,14.787284851074219,-4.0829620361328125
0.0,-8.0,0.0,4.0,16.0,-27.0,-19.0,-1.0,41.0,-22.0,7.106353759765625,-17.780197143554688,30.870529174804688,-5.390869140625
-2,6,-7,16,4,29,,,16,1,1.572296142578125,-5.2024688720703125,14.13433837890625,-7.945587158203125
-2,5,-11,14,-14,28,,,-10,29,-10.020126342773438,17.757919311523438,-2.2266998291015625,-16.212387084960938
0,8,-4,5,-7,19,,,-18,22,-21.111312866210938,29.2645263671875,-4.6914215087890625,-18.09264373779297
-4,-15,7,-34,-6,-14,,,-12,-5,-27.300247192382812,21.372283935546875,-6.06671142578125,3.15216064453125
-4,-6,6,-24,-7,-6,,,-9,1,-18.987213134765625,12.658126831054688,-4.219390869140625,26.75543975830078
-2.0,-1.0,2.0,-26.0,8.0,18.0,13.0,-13.0,-10.0,4.0,-10.916473388671875,7.2776641845703125,-2.4258575439453125,23.384414672851562
2.0,-1.0,3.0,-20.0,-11.0,-5.0,25.0,-18.0,-5.0,4.0,6.775146484375,-2.57733154296875,-5.8065643310546875,2.855560302734375
4.0,10.0,1.0,17.0,0.0,19.0,23.0,-11.0,-5.0,6.0,31.859481811523438,-16.199020385742188,-20.5477294921875,-1.543701171875
5,18,,,7,20,-2,31,-8,1,26.948867797851562,-20.945846557617188,-13.418350219726562,-2.543975830078125
2,-10,,,10,-52,-27,26,12,-32,14.5928955078125,-26.796173095703125,15.963668823242188,-4.6791229248046875
1.0,-16.0,4.0,-2.0,12.0,-61.0,-20.0,0.0,42.0,-30.0,6.99114990234375,-17.76995849609375,31.852737426757812,-5.703857421875
4,5,2,6,11,6,,,27,-14,1.3453826904296875,-4.388458251953125,11.625747680664062,-6.7899322509765625
2,3,-3,10,-7,22,,,11,9,-8.35101318359375,15.033905029296875,-1.8557586669921875,-14.448333740234375
2,8,-5,16,2,45,,,-17,47,-19.242904663085938,28.00225830078125,-4.2761993408203125,-18.314285278320312
-5,-7,4,-21,-9,-1,,,-18,6,-21.949386596679688,19.660888671875,-4.877655029296875,-4.83465576171875
-2,-8,2,-25,-9,-11,,,-10,-2,-23.936904907226562,15.957916259765625,-5.319305419921875,25.328125
0,-1,5,-19,-3,0,,,-11,2,-13.795822143554688,9.197235107421875,-3.06573486328125,27.682052612304688
0.0,-1.0,17.0,-29.0,-3.0,4.0,32.0,-14.0,-6.0,4.0,-0.1065216064453125,0.6765899658203125,-2.19970703125,6.04583740234375
-1.0,1.0,4.0,-6.0,4.0,18.0,33.0,-17.0,-8.0,5.0,23.638442993164062,-11.001358032226562,-15.802276611328125,-0.9713897705078125
1.0,20.0,-13.0,50.0,-6.0,31.0,7.0,7.0,-12.0,3.0,32.728546142578125,-20.638763427734375,-18.92138671875,-2.269195556640625
5,4,-8,23,10,-12,-27,41,,,16.43133544921875,-21.688980102539062,-0.4849853515625,-3.1671295166015625
2,-23,6,-15,12,-72,-22,-2,,,9.116439819335938,-19.8323974609375,23.725051879882812,-4.2501983642578125
3.0,-8.0,0.0,1.0,11.0,-41.0,-15.0,-1.0,36.0,-27.0,4.8076934814453125,-13.002670288085938,26.078445434570312,-5.219451904296875
1.0,0.0,-2.0,5.0,6.0,1.0,-6.0,1.0,24.0,-20.0,0.0012054443359375,-1.0898284912109375,6.853118896484375,-7.4478302001953125
1,2,-5,9,-6,29,,,4,18,-14.828216552734375,25.177398681640625,-3.295166015625,-20.873367309570312
-6,7,4,-15,-14,43,,,-32,53,-26.087295532226562,30.739517211914062,-5.79718017578125,-15.511703491210938
-4,-8,3,-41,3,4,,,-18,2,-21.220458984375,14.339691162109375,-4.7156524658203125,10.84979248046875
-2.0,-3.0,3.0,-25.0,-18.0,-11.0,15.0,-11.0,-9.0,3.0,-18.275527954101562,12.183670043945312,-4.0612335205078125,29.195953369140625
0.0,0.0,0.0,-15.0,-2.0,4.0,35.0,-22.0,-10.0,3.0,-8.593292236328125,5.7288970947265625,-1.90960693359375,19.523117065429688
-1.0,5.0,-4.0,20.0,-1.0,20.0,13.0,-11.0,-8.0,6.0,15.046142578125,-6.5852813720703125,-10.35064697265625,-0.33685302734375
4.0,14.0,-9.0,40.0,-7.0,21.0,-14.0,29.0,-5.0,1.0,33.114044189453125,-18.209274291992188,-20.606170654296875,-1.8390960693359375
-2.0,3.0,-10.0,27.0,3.0,-1.0,-33.0,49.0,-13.0,-6.0,25.215927124023438,-26.246505737304688,-7.674491882324219,-3.5542755126953125
0.0,-17.0,5.0,-10.0,11.0,-81.0,-19.0,-1.0,28.0,-35.0,9.865203857421875,-20.710540771484375,21.669349670410156,-4.1670074462890625
-6.0,9.0,4.0,13.0,30.0,-18.0,-9.0,4.0,51.0,-29.0,6.1206817626953125,-16.421737670898438,32.49659729003906,-6.6910247802734375
15,-5,3,9,-6,26,,,16,4,-2.3209228515625,3.686737060546875,3.80780029296875,-10.56201171875
5,10,3,12,1,46,,,-14,58,-17.287490844726562,27.96978759765625,-3.8416595458984375,-21.11895751953125
-3,-10,11,-42,2,6,,,-19,3,-25.5428466796875,27.042984008789062,-5.676177978515625,-11.494827270507812
-1.0,-3.0,9.0,-41.0,-12.0,-19.0,23.0,-24.0,-14.0,-1.0,-26.59112548828125,17.727401733398438,-5.9091339111328125,23.8214111328125
-2.0,0.0,-3.0,-11.0,3.0,17.0,18.0,-14.0,-6.0,2.0,-14.551422119140625,9.700958251953125,-3.2336578369140625,28.438079833984375
1.0,9.0,-5.0,28.0,-9.0,5.0,14.0,-5.0,-12.0,6.0,1.496917724609375,0.163482666015625,-3.9303741455078125,7.5685577392578125
2.0,9.0,-7.0,28.0,-3.0,13.0,-12.0,27.0,-6.0,-1.0,28.354782104492188,-13.74932861328125,-18.652679443359375,-1.2597503662109375
1.0,2.0,-3.0,18.0,5.0,-18.0,-18.0,27.0,-6.0,-13.0,33.60687255859375,-24.610382080078125,-17.55963897705078,-2.9143218994140625
0.0,-16.0,5.0,-11.0,8.0,-62.0,-20.0,-2.0,20.0,-33.0,14.608596801757812,-26.60986328125,15.319099426269531,-4.6158905029296875
5.0,-7.0,2.0,6.0,16.0,-32.0,-14.0,-3.0,51.0,-44.0,7.249053955078125,-18.39593505859375,32.869964599609375,-5.903076171875
-2,5,-3,9,6,35,,,10,20,0.948944091796875,-3.5540924072265625,11.1236572265625,-7.7104034423828125
-1,16,-8,27,-19,60,,,-19,62,-13.637924194335938,23.4798583984375,-3.0306549072265625,-20.117584228515625
-3,-7,1,-19,-5,-5,,,-16,1,-20.646575927734375,26.771377563476562,-4.588104248046875,-15.246818542480469
-1,-8,2,-17,-4,-7,,,-7,0,-22.26348876953125,16.69342041015625,-4.9474639892578125,3.1452560424804688
-2,-4,6,-22,-4,-7,,,-8,-1,-20.168472290039062,13.4456787109375,-4.48187255859375,27.242507934570312
-3.0,-4.0,5.0,-39.0,5.0,12.0,26.0,-21.0,-10.0,0.0,-12.18341064453125,8.122238159179688,-2.7074127197265625,26.199478149414062
0.0,0.0,-2.0,-13.0,-13.0,-7.0,22.0,-15.0,-7.0,1.0,7.361968994140625,-2.9979095458984375,-5.5582427978515625,1.064697265625
2.0,11.0,-5.0,37.0,1.0,18.0,7.0,11.0,-8.0,5.0,30.624786376953125,-15.45428466796875,-19.815414428710938,-1.463897705078125
6.0,13.0,-1.0,42.0,9.0,6.0,-15.0,44.0,-2.0,-1.0,27.589950561523438,-20.8990478515625,-14.035697937011719,-2.511322021484375
3.0,-13.0,6.0,-12.0,11.0,-63.0,-19.0,-3.0,18.0,-36.0,14.311172485351562,-25.395065307617188,12.810722351074219,-4.3017730712890625
2.0,-6.0,3.0,1.0,7.0,-34.0,-12.0,-1.0,30.0,-22.0,7.6790008544921875,-19.106246948242188,32.78871154785156,-5.7413787841796875
2,0,1,11,15,9,,,36,-17,1.25335693359375,-4.5061798095703125,13.5477294921875,-8.484466552734375
3,3,-1,8,1,27,,,5,12,-10.692352294921875,18.782394409179688,-2.3760833740234375,-16.651046752929688
-1,7,-3,8,-12,42,,,-28,58,-18.914474487304688,26.326400756835938,-4.2032012939453125,-16.3114013671875
-6,-10,2,-39,-17,-5,,,-21,0,-22.17864990234375,18.56011962890625,-4.9285888671875,-2.21923828125
-2.0,-4.0,3.0,-24.0,-5.0,-9.0,10.0,-9.0,-11.0,-1.0,-21.982879638671875,14.655242919921875,-4.8850860595703125,25.330352783203125
-3.0,-2.0,3.0,-25.0,6.0,15.0,14.0,-14.0,-8.0,0.0,-12.869110107421875,8.579421997070312,-2.85980224609375,25.960784912109375
-3.0,16.0,-14.0,35.0,-20.0,25.0,30.0,-7.0,-26.0,8.0,42.91621398925781,-21.334732055664062,-30.05108642578125,4.4615631103515625
9.0,-12.0,6.0,33.0,45.0,-91.0,-59.0,44.0,59.0,-55.0,43.7789306640625,-64.93826293945312,44.62660217285156,-14.468734741210938
3,1,-4,11,12,17,,,24,-6,-1.2583465576171875,1.651153564453125,4.4104461669921875,-8.79766845703125
1,7,-3,14,-11,19,,,9,11,-14.285293579101562,23.99212646484375,-3.1745147705078125,-19.223907470703125
-1,5,-7,8,-11,31,,,-30,42,-22.173171997070312,27.149749755859375,-4.9273681640625,-14.3834228515625
-6,-13,6,-36,-13,-9,,,-24,-1,-26.948577880859375,18.79345703125,-5.98858642578125,12.818603515625
-2,-5,5,-25,-8,-3,,,-13,-1,-17.150833129882812,11.43389892578125,-3.811279296875,28.778076171875
-3.0,-1.0,5.0,-20.0,-3.0,3.0,18.0,-1.0,-6.0,1.0,-7.549224853515625,5.0403289794921875,-1.70361328125,17.476272583007812
-1.0,3.0,-3.0,-14.0,-5.0,12.0,35.0,-31.0,-10.0,5.0,15.203720092773438,-6.677337646484375,-10.381637573242188,-0.556671142578125
1.0,13.0,-2.0,31.0,1.0,19.0,5.0,11.0,-11.0,3.0,31.773452758789062,-17.3443603515625,-19.841842651367188,-1.7427978515625
3.0,6.0,-4.0,33.0,6.0,-19.0,-23.0,40.0,-3.0,-16.0,26.405914306640625,-26.976287841796875,-8.407913208007812,-3.63214111328125
0.0,-15.0,2.0,-10.0,8.0,-56.0,-22.0,-2.0,23.0,-30.0,11.03741455078125,-23.545089721679688,26.236862182617188,-4.9183807373046875
4.0,-3.0,1.0,7.0,14.0,-21.0,-16.0,-1.0,45.0,-18.0,4.9859161376953125,-13.643997192382812,27.894927978515625,-5.9273529052734375
-3,3,-4,7,5,21,,,10,3,-1.4544219970703125,2.06787109375,4.07049560546875,-8.994125366210938
1,6,-6,14,3,27,,,0,20,-12.525314331054688,21.253616333007812,-2.783416748046875,-17.247955322265625
-2,4,-4,2,-19,23,,,-24,31,-24.156814575195312,29.939239501953125,-5.3681793212890625,-16.15326690673828
-2,-13,7,-35,-6,-11,,,-17,0,-22.979080200195312,16.058303833007812,-5.1064453125,8.717460632324219
-2.0,-2.0,6.0,-30.0,-12.0,-1.0,17.0,-14.0,-12.0,0.0,-18.072647094726562,12.048416137695312,-4.016143798828125,27.582565307617188
-4.0,-4.0,-3.0,-27.0,-5.0,2.0,31.0,-30.0,-11.0,1.0,-10.115325927734375,6.7435455322265625,-2.2478485107421875,22.529815673828125
0.0,5.0,-5.0,9.0,-1.0,16.0,8.0,-17.0,-7.0,6.0,18.740188598632812,-8.333404541015625,-12.84234619140625,-0.3699493408203125
3.0,17.0,-5.0,45.0,-2.0,23.0,-14.0,38.0,-10.0,1.0,31.086715698242188,-17.58868408203125,-19.074264526367188,-1.8109588623046875
-1.0,4.0,-1.0,16.0,8.0,-26.0,-12.0,27.0,0.0,-12.0,22.7369384765625,-23.69476318359375,-7.276237487792969,-3.19781494140625
2.0,-17.0,4.0,-9.0,15.0,-60.0,-14.0,2.0,27.0,-32.0,11.328765869140625,-23.800506591796875,24.977317810058594,-4.8386993408203125
20.0,-2.0,6.0,2.0,11.0,-18.0,-6.0,0.0,46.0,-33.0,5.16656494140625,-13.945159912109375,27.874786376953125,-5.6165771484375
-10,2,3,12,15,22,,,16,18,-1.615447998046875,2.074462890625,5.772674560546875,-10.367095947265625
-1,2,-1,2,-6,9,,,5,1,-13.735137939453125,22.962356567382812,-3.0522613525390625,-18.1561279296875
0,5,-3,6,-6,34,,,-22,40,-19.600784301757812,24.703125,-4.355712890625,-13.55865478515625
-2,-1,4,-15,-21,-1,,,-18,9,-22.991775512695312,16.8785400390625,-5.1092987060546875,4.8899078369140625
-6,-8,7,-42,-4,-3,,,-21,1,-20.2900390625,13.526687622070312,-4.5088958740234375,29.1170654296875
-3.0,-1.0,0.0,-29.0,-6.0,4.0,18.0,-20.0,-10.0,3.0,-10.794754028320312,7.196533203125,-2.3988494873046875,23.82763671875
0.0,2.0,-3.0,3.0,-2.0,12.0,24.0,-12.0,-7.0,4.0,11.362380981445312,-4.8679351806640625,-7.9520416259765625,0.017608642578125
2.0,18.0,-4.0,49.0,2.0,27.0,3.0,23.0,-11.0,3.0,33.14418029785156,-17.5565185546875,-20.9910888671875,-1.7263336181640625
2.0,9.0,-5.0,29.0,3.0,3.0,-18.0,36.0,-9.0,-5.0,26.810897827148438,-25.010986328125,-10.843460083007812,-3.25042724609375
-1.0,-15.0,3.0,-13.0,5.0,-54.0,-23.0,-1.0,15.0,-27.0,10.281234741210938,-20.598480224609375,17.327285766601562,-3.8388671875
14.0,2.0,1.0,6.0,26.0,-49.0,-19.0,-2.0,37.0,-23.0,7.284759521484375,-18.871368408203125,35.084381103515625,-6.6465911865234375
-8,-9,-2,10,4,11,,,38,-15,-1.353973388671875,1.4207611083984375,6.8259429931640625,-10.45599365234375
1,5,1,7,3,24,,,8,11,-13.652374267578125,22.878326416015625,-3.0338592529296875,-18.172470092773438
-1,8,-6,12,-13,41,,,-24,49,-20.20343017578125,25.400558471679688,-4.489654541015625,-13.905448913574219
-3,-11,2,-28,-12,-8,,,-18,0,-22.156036376953125,16.193878173828125,-4.9235687255859375,4.643707275390625
-5,-9,7,-34,-6,-5,,,-19,0,-19.241439819335938,12.827621459960938,-4.2758636474609375,26.709007263183594
-3.0,-1.0,4.0,-26.0,-9.0,0.0,17.0,-14.0,-7.0,2.0,-12.001449584960938,8.000961303710938,-2.6669921875,25.918411254882812
0.0,1.0,2.0,-18.0,-1.0,7.0,29.0,-19.0,-8.0,4.0,8.625930786132812,-3.576080322265625,-6.347259521484375,0.8198394775390625
1.0,7.0,-3.0,19.0,-2.0,16.0,14.0,-7.0,-6.0,5.0,28.751235961914062,-14.528945922851562,-18.592132568359375,-1.377777099609375
5.0,17.0,-7.0,54.0,3.0,22.0,-15.0,49.0,-9.0,1.0,31.408615112304688,-25.364883422851562,-15.117752075195312,-3.127838134765625
-1.0,-5.0,-1.0,0.0,8.0,-41.0,-21.0,13.0,4.0,-24.0,12.712738037109375,-24.781906127929688,18.104843139648438,-4.4979248046875
1.0,-12.0,7.0,-6.0,7.0,-52.0,-18.0,-2.0,32.0,-6.0,6.0852508544921875,-15.477005004882812,27.776824951171875,-4.88690185546875
6.0,1.0,0.0,11.0,16.0,-9.0,-10.0,-2.0,25.0,-25.0,1.925537109375,-5.8729705810546875,14.066421508789062,-6.42755126953125
1,2,-1,11,-5,18,,,21,0,-8.89556884765625,16.006729125976562,-1.9767913818359375,-15.8009033203125
-1,5,-7,11,0,45,,,-14,40,-18.473922729492188,26.904449462890625,-4.105316162109375,-17.593109130859375
1,2,0,-3,4,5,,,-9,4,-22.849472045898438,20.497055053710938,-5.0776519775390625,-4.930168151855469
-4,-13,5,-29,-14,-11,,,-16,0,-20.898834228515625,13.93255615234375,-4.6441802978515625,21.01567840576172
-4,-5,6,-32,-14,-2,,,-16,-1,-16.209075927734375,10.806060791015625,-3.602020263671875,31.464035034179688
-5.0,-2.0,1.0,-38.0,-3.0,2.0,29.0,-25.0,-10.0,3.0,-0.001800537109375,0.669891357421875,-2.4094390869140625,6.3916473388671875
0.0,6.0,-7.0,8.0,-7.0,13.0,19.0,-13.0,-7.0,6.0,26.544952392578125,-12.541671752929688,-17.642654418945312,-1.1229095458984375
4.0,16.0,-2.0,40.0,0.0,28.0,4.0,12.0,-6.0,2.0,33.71051025390625,-22.705047607421875,-18.697532653808594,-2.584625244140625
5.0,8.0,-5.0,39.0,4.0,10.0,-21.0,51.0,-10.0,1.0,14.548126220703125,-22.4459228515625,4.812347412109375,-3.4926300048828125
0.0,-12.0,4.0,-14.0,10.0,-46.0,-12.0,2.0,8.0,-28.0,9.7781982421875,-22.957687377929688,34.437095642089844,-5.932403564453125
5.0,-13.0,7.0,4.0,25.0,-65.0,-24.0,-3.0,47.0,-26.0,2.7194061279296875,-8.111984252929688,18.9000244140625,-7.577423095703125
-2.0,4.0,-2.0,3.0,8.0,2.0,0.0,4.0,16.0,-2.0,-7.8948516845703125,14.30902099609375,-1.75439453125,-14.351760864257812
1,6,-6,18,-2,31,,,12,18,-19.100265502929688,28.120086669921875,-4.2444915771484375,-18.653213500976562
-3,10,-6,15,-7,40,,,-10,26,-21.897369384765625,20.0587158203125,-4.8660888671875,-5.600959777832031
-5,-14,0,-30,-14,-5,,,-26,-1,-25.416412353515625,16.944259643554688,-5.6480865478515625,26.704627990722656
-3,-9,7,-23,-8,-15,,,-10,-2,-13.104080200195312,8.736053466796875,-2.912017822265625,26.488571166992188
0.0,0.0,6.0,-25.0,-6.0,3.0,17.0,-9.0,-4.0,1.0,2.1219482421875,-0.257843017578125,-3.7736663818359375,6.054412841796875
-1.0,1.0,3.0,-32.0,-3.0,6.0,43.0,-32.0,-9.0,5.0,29.558929443359375,-14.4119873046875,-19.401718139648438,-1.32672119140625
4.0,9.0,-1.0,25.0,1.0,23.0,13.0,-5.0,-8.0,7.0,30.039688110351562,-21.332672119140625,-16.059776306152344,-2.4912261962890625
4.0,18.0,-6.0,54.0,6.0,17.0,-24.0,61.0,-1.0,2.0,14.455657958984375,-23.706985473632812,7.900825500488281,-3.814605712890625
2.0,-21.0,2.0,-8.0,14.0,-86.0,-26.0,-1.0,22.0,-45.0,8.021316528320312,-18.999313354492188,29.137710571289062,-4.9199676513671875
-13.0,4.0,1.0,4.0,11.0,-17.0,-10.0,0.0,39.0,-21.0,3.203521728515625,-9.31317138671875,20.838760375976562,-5.9535064697265625
18,-5,1,10,5,18,,,21,-6,-5.3282623291015625,9.736251831054688,-0.40374755859375,-12.853042602539062
-2,10,-9,20,-10,48,,,-14,47,-15.830520629882812,24.905197143554688,-3.5178985595703125,-17.912353515625
-3,4,-2,0,-4,11,,,-12,13,-21.293899536132812,23.29876708984375,-4.7319793701171875,-10.447525024414062
-2,-17,3,-33,-9,-15,,,-19,-3,-23.452728271484375,15.751327514648438,-5.211700439453125,14.546661376953125
-2,-8,8,-28,-6,-6,,,-9,-3,-16.872604370117188,11.248382568359375,-3.7494659423828125,28.788070678710938
-2.0,-1.0,7.0,-34.0,-3.0,0.0,25.0,-15.0,-8.0,3.0,-7.0975189208984375,4.7400665283203125,-1.606170654296875,16.534927368164062
-1.0,3.0,-2.0,-9.0,0.0,10.0,34.0,-29.0,-9.0,6.0,16.184356689453125,-7.1392364501953125,-11.0341796875,-0.597900390625
2.0,20.0,-1.0,43.0,-2.0,32.0,3.0,15.0,-11.0,7.0,33.21490478515625,-18.497467041015625,-20.541671752929688,-1.8844757080078125
1,9,-12,36,1,7,-25,47,,,21.648468017578125,-21.196365356445312,-8.269973754882812,-2.793914794921875
1,-15,6,-12,11,-58,-19,1,,,11.718826293945312,-23.709182739257812,20.979766845703125,-4.5214691162109375
4.0,-9.0,0.0,1.0,14.0,-50.0,-14.0,1.0,33.0,-24.0,5.9835662841796875,-15.670745849609375,29.72503662109375,-5.5690460205078125
2,0,-2,9,14,9,,,37,-24,0.5884552001953125,-2.5426025390625,9.022979736328125,-7.3124847412109375
-1,1,-10,9,-12,17,,,4,2,-11.096694946289062,19.445953369140625,-2.4659423828125,-17.180007934570312
-1,9,-8,19,-9,48,,,-25,56,-22.682159423828125,30.246017456054688,-5.04046630859375,-17.87397003173828
-4,-2,7,-19,-4,3,,,-15,8,-25.678787231445312,19.134628295898438,-5.7064056396484375,5.633949279785156
-2,-11,17,-50,-14,-19,,,-16,0,-20.50482177734375,13.669891357421875,-4.5566253662109375,30.885650634765625
-4.0,-2.0,3.0,-24.0,-5.0,-1.0,32.0,-20.0,-8.0,1.0,-8.979736328125,5.9864654541015625,-1.9954986572265625,20.1058349609375
1.0,2.0,-8.0,0.0,2.0,11.0,12.0,-21.0,-7.0,5.0,9.582000732421875,-4.0059661865234375,-6.987396240234375,0.760223388671875
1.0,12.0,-3.0,23.0,1.0,24.0,1.0,10.0,-10.0,5.0,30.319122314453125,-15.581253051757812,-19.463790893554688,-1.497344970703125
2.0,10.0,0.0,32.0,4.0,4.0,-18.0,46.0,2.0,4.0,27.526214599609375,-21.972824096679688,-13.389480590820312,-2.69732666015625
2.0,-16.0,5.0,-2.0,12.0,-80.0,-27.0,2.0,21.0,-48.0,13.798324584960938,-26.050765991210938,16.977783203125,-4.6231536865234375
6.0,-1.0,1.0,12.0,13.0,-17.0,-9.0,3.0,45.0,-21.0,7.1958160400390625,-18.53033447265625,34.06608581542969,-6.3236083984375
2,2,-1,5,18,14,,,17,-7,0.2259674072265625,-1.7750091552734375,8.4962158203125,-7.938690185546875
2,5,-6,18,-10,43,,,-7,37,-12.6905517578125,21.87860107421875,-2.8201141357421875,-18.582061767578125
0,4,-3,2,-6,12,,,-25,26,-19.577865600585938,25.97113037109375,-4.35064697265625,-15.196418762207031
-6,-11,6,-31,-17,-8,,,-20,-2,-24.661102294921875,18.921157836914062,-5.480224609375,3.0395736694335938
-6,-3,11,-43,-5,11,,,-12,2,-22.966415405273438,15.310928344726562,-5.1036376953125,33.41011047363281
-2.0,0.0,-2.0,-20.0,-9.0,-3.0,40.0,-36.0,-10.0,5.0,-9.179092407226562,6.1194000244140625,-2.0398101806640625,20.757415771484375
3.0,11.0,-3.0,20.0,1.0,21.0,8.0,-9.0,-7.0,4.0,20.600845336914062,-9.262313842773438,-13.949615478515625,-0.7909088134765625
-15.0,16.0,-5.0,40.0,4.0,18.0,-21.0,55.0,-6.0,0.0,32.31706237792969,-18.835067749023438,-19.528175354003906,-1.976715087890625
20.0,-17.0,4.0,-2.0,10.0,-45.0,-23.0,11.0,5.0,-26.0,22.780426025390625,-27.2401123046875,-2.6740188598632812,-3.8952484130859375
3.0,-9.0,2.0,1.0,12.0,-61.0,-18.0,-1.0,36.0,-27.0,9.53240966796875,-21.186370849609375,27.202301025390625,-4.76287841796875
4.0,-2.0,-2.0,8.0,7.0,-3.0,-3.0,5.0,36.0,-16.0,4.5064849853515625,-12.623199462890625,26.765426635742188,-6.347503662109375
0,3,-2,8,9,20,,,15,-2,-2.6077880859375,4.59423828125,1.5461578369140625,-9.582077026367188
-1,7,-3,15,-2,36,,,-5,27,-14.97265625,24.641220092773438,-3.327239990234375,-19.000930786132812
-1,7,-6,9,-12,25,,,-24,35,-20.73809814453125,24.865753173828125,-4.60845947265625,-12.786003112792969
-5,-15,10,-42,-3,-5,,,-23,-2,-23.784439086914062,16.623031616210938,-5.285430908203125,9.434822082519531
-4,-5,7,-30,-6,-5,,,-11,-1,-18.845108032226562,12.563400268554688,-4.1878204345703125,29.737075805664062
-1.0,-2.0,2.0,-30.0,-10.0,1.0,21.0,-18.0,-7.0,0.0,-8.726531982421875,5.817718505859375,-1.9392242431640625,19.805191040039062
-3.0,1.0,-5.0,-9.0,-10.0,-7.0,26.0,-23.0,-10.0,4.0,13.613616943359375,-5.92193603515625,-9.375961303710938,-0.328216552734375
1.0,20.0,-6.0,52.0,-2.0,32.0,2.0,18.0,-10.0,7.0,31.64581298828125,-16.983184814453125,-19.921554565429688,-1.685943603515625
3.0,7.0,-5.0,28.0,11.0,-16.0,-21.0,43.0,0.0,-9.0,24.963241577148438,-22.536300659179688,-10.707199096679688,-2.8924560546875
3.0,-21.0,7.0,-14.0,13.0,-75.0,-21.0,-1.0,37.0,-41.0,11.635177612304688,-23.025634765625,18.08673095703125,-4.2362213134765625
0.0,0.0,0.0,3.0,3.0,-2.0,-8.0,-1.0,17.0,-8.0,6.192718505859375,-15.77520751953125,28.399993896484375,-5.020660400390625
3,8,2,18,13,35,,,23,7,1.6673736572265625,-5.2828369140625,13.455322265625,-7.0764617919921875
-1,8,-8,16,-13,37,,,-13,38,-10.225860595703125,18.161544799804688,-2.2724151611328125,-16.914764404296875
-3,2,-5,-2,-3,2,,,-10,4,-17.875625610351562,25.515045166015625,-3.9723663330078125,-16.2718505859375
1,-6,3,-15,-3,-4,,,-13,1,-22.77490234375,19.954147338867188,-5.0610809326171875,-4.021232604980469
-4,-12,13,-41,-4,-11,,,-15,-3,-24.329299926757812,16.219497680664062,-5.4065093994140625,27.70825958251953
0.0,-3.0,7.0,-40.0,-5.0,0.0,32.0,-29.0,-8.0,5.0,-13.322845458984375,8.881927490234375,-2.96063232421875,27.728851318359375
0.0,6.0,-7.0,1.0,-4.0,16.0,26.0,-22.0,-9.0,6.0,5.7339935302734375,-2.1151123046875,-5.113311767578125,2.9403533935546875
0.0,13.0,-4.0,40.0,-4.0,20.0,-1.0,16.0,-7.0,1.0,27.954681396484375,-13.811294555664062,-18.249435424804688,-1.28570556640625
2,10,-8,38,-2,13,-28,51,,,31.137283325195312,-22.917572021484375,-16.206008911132812,-2.7199554443359375
-2,-15,1,-10,10,-45,-18,1,,,12.79779052734375,-22.110519409179688,8.95086669921875,-3.623931884765625
5.0,-10.0,1.0,0.0,11.0,-52.0,-26.0,1.0,45.0,-22.0,8.329345703125,-19.953506469726562,31.454483032226562,-5.357086181640625
-7,5,-5,12,17,-10,,,25,-22,2.7948455810546875,-8.2572021484375,18.884872436523438,-6.7514801025390625
11,-9,-1,3,10,11,,,14,-5,-9.636032104492188,17.259033203125,-2.1410369873046875,-17.337249755859375
1,3,-4,7,-3,26,,,2,13,-18.201385498046875,26.265274047851562,-4.044769287109375,-16.978515625
-4,13,4,11,-22,40,,,-28,49,-22.09130859375,19.76141357421875,-4.9091796875,-4.794334411621094
